UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1756066383028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99381365,-0.08388442,0.01759348,0.07062786
1756066383055,-0.13312211,-0.00617714,0.09305623,-0.00399029,0.01957001,-0.00720686,0.99381121,-0.08394029,0.01786746,0.07052696
1756066383064,-0.77557686,-0.07876610,0.37657769,0.04702974,0.05285963,-0.04533358,0.99383891,-0.08373100,0.01810269,0.07032523
1756066383074,0.57110791,0.14544660,-0.38036279,0.02724461,0.03365268,0.03437110,0.99383516,-0.08359614,0.01826927,0.07049536
1756066383108,0.01177712,0.02479889,-0.02024711,0.03077091,0.01697746,0.02595705,0.99384218,-0.08308073,0.01855364,0.07093014
1756066383127,0.38939646,-0.11106514,-0.02060725,-0.00763163,-0.00209929,0.01402679,0.99382680,-0.08315399,0.01853349,0.07106480
1756066383138,-0.40532237,-0.13899455,-0.16028463,-0.01548847,-0.00084286,-0.02079527,0.99382796,-0.08324150,0.01852873,0.07094731
1756066383149,-0.04660292,0.00885257,0.03603472,-0.00921059,0.00067117,-0.01579939,0.99382988,-0.08329308,0.01853249,0.07085883
1756066383160,0.02759726,0.18869090,-0.02248858,0.00247726,0.00830058,0.00773748,0.99382711,-0.08327933,0.01857855,0.07090177
1756066383172,0.02527670,0.07171811,-0.08780329,0.02358333,-0.00244610,0.02917338,0.99382676,-0.08314845,0.01856498,0.07106369
1756066383183,-0.05780988,-0.04112000,-0.01596423,0.05864326,0.01254387,-0.01001851,0.99385661,-0.08282298,0.01863460,0.07100808
1756066383194,0.06458258,0.03229129,0.06361505,0.00243021,0.02333066,0.01201745,0.99385053,-0.08280949,0.01876408,0.07107478
1756066383205,0.11404752,0.20124610,0.04426447,0.00828400,-0.00251437,0.01208473,0.99384982,-0.08276351,0.01875013,0.07114185
1756066383216,0.06072620,-0.10935737,0.01581683,0.00164474,0.00140931,0.01373749,0.99384484,-0.08275414,0.01875816,0.07122015
1756066383227,-0.06732604,-0.13428607,0.01520040,-0.00928885,0.00771045,0.00343572,0.99383837,-0.08280569,0.01880095,0.07123922
1756066383239,-0.08139840,-0.09512039,0.07117944,-0.01059000,0.00782269,-0.00929838,0.99383632,-0.08286552,0.01884515,0.07118669
1756066383250,-0.00929213,0.03636369,0.05307498,-0.00584259,0.00636563,-0.00447933,0.99383472,-0.08289795,0.01888048,0.07116183
1756066383261,-0.01959247,0.01378729,0.00266071,0.00453605,0.01095906,0.00366745,0.99383421,-0.08287277,0.01894130,0.07118218
1756066383272,-0.02333443,0.00783165,-0.08773636,0.01406545,0.01211056,-0.00525783,0.99384158,-0.08279401,0.01900912,0.07115274
1756066383283,0.05765006,0.04277214,0.08634983,0.00280400,0.01818120,0.00347342,0.99383956,-0.08277845,0.01911003,0.07117201
1756066383294,0.01169593,0.05355143,0.08871910,0.01158468,0.01135543,-0.00890657,0.99384717,-0.08271473,0.01917248,0.07112303
1756066383306,0.03096492,-0.02997133,0.01478080,0.00355582,0.00952307,0.01251803,0.99384266,-0.08269428,0.01922724,0.07119501
1756066383317,-0.00434499,-0.00414868,-0.00217904,0.01067868,0.00748226,-0.00389654,0.99384824,-0.08263609,0.01926802,0.07117377
1756066383328,-0.01606298,-0.03922932,-0.07811468,0.00870165,0.01253411,-0.01233567,0.99385580,-0.08258779,0.01933758,0.07110531
