UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1756066383701,-0.00663280,1.06049469,0.00383937,-0.08217268,0.02045607,0.07123509,0.99385852
1756066383713,-0.00665118,1.06049936,0.00385195,-0.08204186,0.02041000,0.07132260,0.99386400
1756066383725,-0.00665750,1.06052242,0.00386629,-0.08202858,0.02038245,0.07148517,0.99385398
1756066383736,-0.00665802,1.06052417,0.00385317,-0.08194616,0.02032955,0.07154816,0.99385733
1756066383747,-0.00665788,1.06052497,0.00385144,-0.08193611,0.02032154,0.07144894,0.99386546
1756066383759,-0.00665158,1.06051968,0.00386682,-0.08200524,0.02032881,0.07145581,0.99385912
1756066383770,-0.00665168,1.06051062,0.00389591,-0.08215949,0.02034381,0.07134843,0.99385379
1756066383782,-0.00664680,1.06050608,0.00392938,-0.08231041,0.02046229,0.07131103,0.99384155
1756066383793,-0.00663701,1.06050707,0.00395894,-0.08238514,0.02050075,0.07131797,0.99383407
1756066383804,-0.00661601,1.06051013,0.00399375,-0.08233424,0.02056677,0.07130997,0.99383750
1756066383815,-0.00659704,1.06050833,0.00401896,-0.08222784,0.02060783,0.07127256,0.99384814
1756066383827,-0.00658306,1.06050153,0.00403047,-0.08223504,0.02066880,0.07122779,0.99384949
1756066383838,-0.00657135,1.06047694,0.00403881,-0.08218070,0.02073839,0.07120367,0.99385426
1756066383849,-0.00655439,1.06047975,0.00405392,-0.08212878,0.02083802,0.07109457,0.99386428
1756066383860,-0.00653365,1.06048992,0.00406513,-0.08205753,0.02084159,0.07124018,0.99385966
1756066383872,-0.00650530,1.06049812,0.00406906,-0.08208513,0.02078053,0.07135903,0.99385013
1756066383883,-0.00648084,1.06049567,0.00407487,-0.08223339,0.02070300,0.07132304,0.99384208
1756066383894,-0.00648937,1.06047919,0.00407597,-0.08233351,0.02060186,0.07124633,0.99384139
1756066383905,-0.00652571,1.06047325,0.00405416,-0.08233527,0.02048603,0.07116831,0.99384923
1756066383916,-0.00655206,1.06046167,0.00402582,-0.08227524,0.02052247,0.07117797,0.99385276
1756066383928,-0.00657077,1.06045975,0.00400180,-0.08226142,0.02053209,0.07120523,0.99385175
1756066383939,-0.00656472,1.06045073,0.00398546,-0.08233046,0.02052548,0.07116742,0.99384888
1756066383950,-0.00655913,1.06042892,0.00396430,-0.08241177,0.02052620,0.07098868,0.99385491
1756066383961,-0.00655374,1.06041014,0.00393647,-0.08252553,0.02054888,0.07080493,0.99385811
1756066383972,-0.00655642,1.06039840,0.00390586,-0.08249737,0.02054517,0.07079869,0.99386097
1756066383984,-0.00656101,1.06040600,0.00387827,-0.08245799,0.02059050,0.07086534,0.99385855
1756066383995,-0.00657463,1.06041551,0.00383162,-0.08233462,0.02068257,0.07093244,0.99386208
1756066384006,-0.00658256,1.06041881,0.00378132,-0.08229393,0.02075761,0.07104604,0.99385577
1756066384017,-0.00658424,1.06042032,0.00374293,-0.08230802,0.02078039,0.07102830,0.99385540
1756066384028,-0.00657530,1.06041336,0.00372905,-0.08241005,0.02071176,0.07093915,0.99385474
1756066384039,-0.00655985,1.06039740,0.00372747,-0.08252412,0.02065010,0.07082394,0.99385477
1756066384051,-0.00653850,1.06039160,0.00372565,-0.08260699,0.02058894,0.07076629,0.99385326
1756066384062,-0.00652242,1.06039296,0.00372291,-0.08260131,0.02057910,0.07074162,0.99385570
1756066384073,-0.00651106,1.06040895,0.00372240,-0.08268088,0.02056712,0.07084669,0.99384184
1756066384084,-0.00650282,1.06042294,0.00371686,-0.08267193,0.02056329,0.07091854,0.99383754
1756066384095,-0.00650802,1.06042269,0.00370437,-0.08263168,0.02054392,0.07090789,0.99384205
1756066384101,-0.00651050,1.06041235,0.00369710,-0.08263894,0.02051883,0.07092995,0.99384039
1756066384106,-0.00651433,1.06040640,0.00369310,-0.08267875,0.02051840,0.07090031,0.99383920
1756066384114,-0.00651561,1.06039242,0.00368840,-0.08271039,0.02049724,0.07087414,0.99383888
1756066384125,-0.00651723,1.06037460,0.00368178,-0.08272866,0.02049404,0.07079532,0.99384304
1756066384137,-0.00651316,1.06036927,0.00367892,-0.08276675,0.02052988,0.07073408,0.99384349
1756066384148,-0.00651978,1.06037436,0.00366953,-0.08277477,0.02059984,0.07070785,0.99384324
1756066384159,-0.00652924,1.06037863,0.00365302,-0.08270652,0.02067327,0.07076790,0.99384312
1756066384170,-0.00654072,1.06038702,0.00362939,-0.08264415,0.02071061,0.07080496,0.99384489
1756066384181,-0.00654958,1.06038931,0.00361902,-0.08261732,0.02081585,0.07077298,0.99384720
1756066384193,-0.00656949,1.06037278,0.00361213,-0.08269853,0.02075970,0.07074127,0.99384388
1756066384204,-0.00657928,1.06035496,0.00361753,-0.08277303,0.02077529,0.07058102,0.99384875
1756066384215,-0.00658917,1.06033997,0.00362301,-0.08285226,0.02082872,0.07058439,0.99384079
1756066384226,-0.00660716,1.06034768,0.00363505,-0.08286667,0.02091304,0.07069498,0.99382996
1756066384237,-0.00662701,1.06037232,0.00362787,-0.08276585,0.02097208,0.07078013,0.99383105
1756066384248,-0.00664750,1.06038831,0.00359455,-0.08258876,0.02100937,0.07084087,0.99384067
1756066384259,-0.00666577,1.06040552,0.00357258,-0.08248052,0.02097902,0.07081416,0.99385220
1756066384270,-0.00667205,1.06040132,0.00356862,-0.08246977,0.02100066,0.07084820,0.99385021
1756066384281,-0.00667557,1.06039520,0.00357509,-0.08255029,0.02097641,0.07074216,0.99385159
1756066384292,-0.00667074,1.06037161,0.00358284,-0.08263779,0.02099487,0.07074513,0.99384372
1756066384304,-0.00665399,1.06035189,0.00358579,-0.08273207,0.02107511,0.07071139,0.99383658
1756066384315,-0.00663821,1.06033522,0.00358984,-0.08275441,0.02109959,0.07067097,0.99383707
1756066384326,-0.00663672,1.06033505,0.00358722,-0.08272052,0.02110432,0.07060037,0.99384481
1756066384337,-0.00664946,1.06033364,0.00357297,-0.08262555,0.02110353,0.07057393,0.99385461
1756066384348,-0.00665314,1.06034622,0.00356033,-0.08254061,0.02117839,0.07053343,0.99386295
1756066384359,-0.00666015,1.06034596,0.00356495,-0.08254683,0.02123902,0.07054325,0.99386044
1756066384370,-0.00666989,1.06035267,0.00357875,-0.08265482,0.02134718,0.07053320,0.99384986
1756066384381,-0.00666203,1.06035137,0.00359520,-0.08271458,0.02147546,0.07057929,0.99383885
1756066384392,-0.00665943,1.06034604,0.00360358,-0.08272148,0.02152189,0.07052356,0.99384123
1756066384404,-0.00666995,1.06034812,0.00361291,-0.08291763,0.02156536,0.07043006,0.99383057
1756066384415,-0.00667898,1.06034636,0.00361392,-0.08317830,0.02151840,0.07032001,0.99381760
1756066384426,-0.00667991,1.06035902,0.00360242,-0.08327777,0.02155026,0.07037122,0.99380496
1756066384437,-0.00668156,1.06036963,0.00357568,-0.08326063,0.02156942,0.07025114,0.99381447
1756066384448,-0.00669253,1.06035356,0.00353602,-0.08316012,0.02153297,0.07020998,0.99382659
1756066384459,-0.00669762,1.06034954,0.00350159,-0.08309891,0.02162174,0.07013735,0.99383491
1756066384470,-0.00670706,1.06033640,0.00347188,-0.08294647,0.02166082,0.07020621,0.99384193
1756066384481,-0.00670727,1.06033526,0.00344875,-0.08285953,0.02171532,0.07034948,0.99383786
1756066384492,-0.00671884,1.06032719,0.00343099,-0.08281338,0.02171651,0.07037970,0.99383954
1756066384504,-0.00672421,1.06031838,0.00341219,-0.08286048,0.02173873,0.07033953,0.99383797
1756066384515,-0.00671193,1.06030960,0.00339666,-0.08296220,0.02175966,0.07027141,0.99383385
1756066384526,-0.00670184,1.06029333,0.00338322,-0.08311871,0.02168003,0.07021661,0.99382639
1756066384537,-0.00667964,1.06025638,0.00336993,-0.08325867,0.02161173,0.06999958,0.99383147
1756066384548,-0.00666302,1.06023630,0.00336960,-0.08345753,0.02185265,0.06983660,0.99382099
1756066384559,-0.00664043,1.06023675,0.00338462,-0.08344978,0.02191545,0.06995075,0.99381223
1756066384570,-0.00664341,1.06025115,0.00337860,-0.08345124,0.02198293,0.06997756,0.99380872
1756066384581,-0.00664181,1.06025235,0.00335583,-0.08340623,0.02230761,0.06982574,0.99381595
1756066384592,-0.00663960,1.06025951,0.00332680,-0.08341694,0.02229831,0.06989487,0.99381040
1756066384603,-0.00661543,1.06026919,0.00330037,-0.08357850,0.02237347,0.06993265,0.99379248
1756066384615,-0.00658135,1.06025991,0.00327203,-0.08358447,0.02233038,0.06986988,0.99379736
1756066384626,-0.00653623,1.06023327,0.00323364,-0.08369228,0.02225117,0.06979317,0.99379545
1756066384637,-0.00649892,1.06020008,0.00321954,-0.08402439,0.02210893,0.06960321,0.99378393
1756066384648,-0.00645655,1.06016660,0.00322345,-0.08418983,0.02213500,0.06947225,0.99377851
1756066384659,-0.00642297,1.06015097,0.00319931,-0.08426592,0.02205749,0.06954653,0.99376859
1756066384670,-0.00639777,1.06014517,0.00314504,-0.08409712,0.02205672,0.06950004,0.99378615
1756066384681,-0.00635256,1.06014447,0.00309247,-0.08408779,0.02212799,0.06970518,0.99377099
1756066384693,-0.00634614,1.06013843,0.00305501,-0.08431667,0.02213396,0.06947177,0.99376781
1756066384704,-0.00635257,1.06010710,0.00301808,-0.08433202,0.02191728,0.06931742,0.99378209
1756066384715,-0.00632372,1.06010148,0.00298008,-0.08452954,0.02199912,0.06936287,0.99376033
1756066384726,-0.00631784,1.06008564,0.00293434,-0.08437125,0.02192448,0.06931824,0.99377854
1756066384737,-0.00630628,1.06008452,0.00289917,-0.08441155,0.02200223,0.06934409,0.99377160
1756066384748,-0.00630666,1.06008640,0.00286469,-0.08448642,0.02198574,0.06929533,0.99376900
1756066384759,-0.00629798,1.06008016,0.00283512,-0.08443221,0.02199046,0.06928901,0.99377395
1756066384770,-0.00629118,1.06008479,0.00280368,-0.08442895,0.02193763,0.06934231,0.99377167
1756066384781,-0.00627442,1.06008999,0.00277707,-0.08445211,0.02184679,0.06936143,0.99377037
1756066384792,-0.00625610,1.06008159,0.00276101,-0.08454675,0.02174845,0.06935361,0.99376503
1756066384803,-0.00622749,1.06004734,0.00273889,-0.08458018,0.02182593,0.06928371,0.99376536
1756066384815,-0.00621715,1.06003024,0.00270766,-0.08462787,0.02181824,0.06921940,0.99376595
1756066384826,-0.00620925,1.06002098,0.00268024,-0.08459022,0.02195648,0.06921130,0.99376668
1756066384837,-0.00621547,1.06002130,0.00266191,-0.08455834,0.02203283,0.06923321,0.99376617
1756066384848,-0.00621714,1.06003346,0.00264975,-0.08451566,0.02209172,0.06919398,0.99377123
1756066384859,-0.00621384,1.06004101,0.00265992,-0.08459972,0.02204861,0.06927133,0.99375964
1756066384870,-0.00620008,1.06004132,0.00268644,-0.08467940,0.02205629,0.06923103,0.99375550
1756066384881,-0.00619960,1.06003754,0.00270036,-0.08477101,0.02195784,0.06915512,0.99375515
1756066384893,-0.00619094,1.06003028,0.00270012,-0.08482167,0.02196408,0.06908294,0.99375571
1756066384904,-0.00619000,1.06002352,0.00270200,-0.08483328,0.02207226,0.06906861,0.99375332
1756066384915,-0.00619991,1.06002453,0.00271356,-0.08476086,0.02215465,0.06917358,0.99375036
1756066384926,-0.00621134,1.06003153,0.00271851,-0.08478702,0.02219101,0.06915513,0.99374860
1756066384937,-0.00621913,1.06001461,0.00271520,-0.08465768,0.02238290,0.06913341,0.99375684
1756066384948,-0.00623195,1.06002267,0.00271067,-0.08455648,0.02237729,0.06912672,0.99376605
1756066384959,-0.00623342,1.06004381,0.00271013,-0.08455274,0.02223652,0.06912538,0.99376962
1756066384970,-0.00622745,1.06002907,0.00271499,-0.08450054,0.02212207,0.06912141,0.99377689
1756066384981,-0.00621830,1.06002358,0.00272933,-0.08469215,0.02196866,0.06914114,0.99376261
1756066384992,-0.00620875,1.06001145,0.00274932,-0.08478476,0.02182342,0.06913518,0.99375833
1756066385004,-0.00620455,1.06000067,0.00276569,-0.08492520,0.02176079,0.06905161,0.99375352
1756066385015,-0.00620860,1.05999902,0.00278226,-0.08503305,0.02184793,0.06898816,0.99374679
1756066385026,-0.00621147,1.06001450,0.00278896,-0.08502274,0.02185848,0.06892857,0.99375157
1756066385037,-0.00622520,1.06002104,0.00277868,-0.08493035,0.02184258,0.06878460,0.99376980
1756066385048,-0.00624675,1.06002623,0.00276712,-0.08485814,0.02185035,0.06873057,0.99377954
1756066385059,-0.00626822,1.06005001,0.00276926,-0.08480062,0.02181204,0.06880868,0.99377988
1756066385071,-0.00627930,1.06007706,0.00276750,-0.08465201,0.02176174,0.06905747,0.99377640
1756066385082,-0.00629152,1.06010801,0.00275582,-0.08429698,0.02170498,0.06946245,0.99377959
1756066385104,-0.00627413,1.06010164,0.00276262,-0.08432589,0.02168387,0.06946959,0.99377710
1756066385115,-0.00625955,1.06006338,0.00277853,-0.08436351,0.02167190,0.06924791,0.99378964
1756066385126,-0.00625229,1.06003974,0.00280163,-0.08457052,0.02166786,0.06910628,0.99378199
1756066385137,-0.00626881,1.06002030,0.00281224,-0.08462353,0.02168719,0.06897954,0.99378587
1756066385148,-0.00628117,1.06001617,0.00281173,-0.08461032,0.02169753,0.06892431,0.99379060
1756066385160,-0.00629286,1.06003426,0.00281072,-0.08458973,0.02167296,0.06906818,0.99378290
1756066385171,-0.00629830,1.06005679,0.00280279,-0.08442458,0.02165690,0.06930621,0.99378072
1756066385182,-0.00629933,1.06008019,0.00279969,-0.08432889,0.02163970,0.06947521,0.99377742
1756066385193,-0.00630456,1.06008556,0.00280225,-0.08433768,0.02159863,0.06948163,0.99377712
1756066385204,-0.00630069,1.06006011,0.00280809,-0.08446191,0.02162364,0.06948746,0.99376561
1756066385215,-0.00630409,1.06003416,0.00279418,-0.08460315,0.02162343,0.06940412,0.99375943
1756066385226,-0.00631015,1.06001809,0.00277165,-0.08466886,0.02170914,0.06928683,0.99376015
1756066385237,-0.00632094,1.06001575,0.00274804,-0.08471438,0.02175782,0.06925767,0.99375724
1756066385249,-0.00632365,1.06000443,0.00271437,-0.08469050,0.02174587,0.06921842,0.99376227
1756066385260,-0.00632022,1.05998603,0.00268358,-0.08464404,0.02173215,0.06920417,0.99376752
1756066385271,-0.00631604,1.05997051,0.00266615,-0.08464293,0.02163450,0.06917856,0.99377153
1756066385282,-0.00630631,1.05994685,0.00264922,-0.08463271,0.02154426,0.06909892,0.99377990
1756066385293,-0.00630066,1.05993441,0.00262806,-0.08468336,0.02146926,0.06900838,0.99378350
1756066385304,-0.00629844,1.05992663,0.00261235,-0.08478621,0.02141968,0.06903408,0.99377401
1756066385315,-0.00630561,1.05992576,0.00260037,-0.08492159,0.02135008,0.06896038,0.99376907
1756066385327,-0.00630574,1.05992004,0.00258407,-0.08493471,0.02130000,0.06890302,0.99377300
1756066385338,-0.00628811,1.05991636,0.00258017,-0.08499760,0.02127807,0.06893155,0.99376612
1756066385349,-0.00626604,1.05991471,0.00258195,-0.08495588,0.02125667,0.06893326,0.99377002
1756066385360,-0.00624821,1.05991706,0.00259110,-0.08499828,0.02117881,0.06898117,0.99376473
1756066385371,-0.00622767,1.05991860,0.00260210,-0.08503071,0.02113434,0.06897864,0.99376308
1756066385382,-0.00621201,1.05992343,0.00261644,-0.08501128,0.02113035,0.06899461,0.99376372
1756066385393,-0.00619307,1.05994128,0.00262824,-0.08499689,0.02120829,0.06908452,0.99375705
1756066385404,-0.00617595,1.05996126,0.00263399,-0.08495198,0.02133335,0.06921941,0.99374882
1756066385415,-0.00615631,1.05997813,0.00263375,-0.08490452,0.02143590,0.06923003,0.99374993
1756066385427,-0.00613530,1.05997562,0.00263506,-0.08492788,0.02150053,0.06920346,0.99374839
1756066385438,-0.00611620,1.05996002,0.00264862,-0.08510946,0.02149595,0.06909331,0.99374062
1756066385449,-0.00609276,1.05993897,0.00266176,-0.08532072,0.02143486,0.06879882,0.99374425
1756066385460,-0.00606892,1.05992329,0.00266474,-0.08536729,0.02141451,0.06875260,0.99374389
1756066385471,-0.00604199,1.05991913,0.00265411,-0.08546487,0.02140870,0.06879063,0.99373300
1756066385482,-0.00602105,1.05991685,0.00264201,-0.08547226,0.02139897,0.06888452,0.99372607
1756066385494,-0.00599389,1.05991687,0.00261346,-0.08532528,0.02138399,0.06882004,0.99374349
1756066385505,-0.00596000,1.05990647,0.00258318,-0.08527086,0.02140779,0.06886652,0.99374443
1756066385515,-0.00592582,1.05989616,0.00257224,-0.08533642,0.02137602,0.06885176,0.99374051
1756066385527,-0.00589825,1.05988336,0.00256419,-0.08537061,0.02123089,0.06872160,0.99374969
1756066385538,-0.00586286,1.05986837,0.00254628,-0.08548520,0.02111097,0.06870424,0.99374360
1756066385549,-0.00583558,1.05985315,0.00253230,-0.08558361,0.02096808,0.06869514,0.99373878
1756066385560,-0.00581357,1.05984420,0.00252923,-0.08564796,0.02093875,0.06873198,0.99373131
1756066385571,-0.00580192,1.05985363,0.00252050,-0.08557424,0.02089543,0.06877265,0.99373576
1756066385582,-0.00579558,1.05986930,0.00249457,-0.08544309,0.02088564,0.06891292,0.99373753
1756066385594,-0.00578026,1.05988529,0.00247437,-0.08531624,0.02097134,0.06895747,0.99374353
1756066385604,-0.00577743,1.05989730,0.00246906,-0.08532372,0.02096436,0.06893162,0.99374483
1756066385616,-0.00577000,1.05989274,0.00246426,-0.08541204,0.02100325,0.06891666,0.99373746
1756066385627,-0.00577173,1.05988641,0.00245103,-0.08548826,0.02096018,0.06875753,0.99374284
1756066385638,-0.00577189,1.05987872,0.00244999,-0.08561449,0.02093860,0.06868891,0.99373717
1756066385649,-0.00576253,1.05987637,0.00246727,-0.08567207,0.02093077,0.06871567,0.99373052
1756066385660,-0.00574452,1.05988701,0.00248215,-0.08570123,0.02085634,0.06882314,0.99372214
1756066385671,-0.00571552,1.05989417,0.00249869,-0.08574660,0.02080692,0.06893271,0.99371167
1756066385682,-0.00569950,1.05988386,0.00252029,-0.08578579,0.02073645,0.06887657,0.99371365
1756066385694,-0.00568798,1.05987141,0.00253904,-0.08587640,0.02064282,0.06876914,0.99371521
1756066385704,-0.00563470,1.05983643,0.00255862,-0.08591372,0.02065920,0.06865023,0.99371987
1756066385716,-0.00554916,1.05977654,0.00256118,-0.08583069,0.02062606,0.06860727,0.99373070
