UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756066383394,0,left,-0.03864333,1.05586685,0.00545969,-0.08273708,0.01944254,0.07111317,0.99384077
1756066383394,1,right,0.02634874,1.06494306,0.00214724,-0.08273708,0.01944254,0.07111317,0.99384077
1756066383405,0,left,-0.03868676,1.05589161,0.00548416,-0.08270851,0.01948798,0.07097913,0.99385184
1756066383405,1,right,0.02630759,1.06495001,0.00216747,-0.08270851,0.01948798,0.07097913,0.99385184
1756066383417,0,left,-0.03872423,1.05590692,0.00551097,-0.08266418,0.01962133,0.07096399,0.99385399
1756066383417,1,right,0.02626972,1.06496203,0.00217743,-0.08266418,0.01962133,0.07096399,0.99385399
1756066383428,0,left,-0.03876529,1.05591230,0.00552560,-0.08264788,0.01972684,0.07101640,0.99384951
1756066383428,1,right,0.02622713,1.06497310,0.00217788,-0.08264788,0.01972684,0.07101640,0.99384951
1756066383439,0,left,-0.03879435,1.05591673,0.00553948,-0.08257440,0.01988223,0.07104765,0.99385029
1756066383439,1,right,0.02619667,1.06498012,0.00217181,-0.08257440,0.01988223,0.07104765,0.99385029
1756066383450,0,left,-0.03882488,1.05592564,0.00554137,-0.08256050,0.01989910,0.07109600,0.99384765
1756066383450,1,right,0.02616515,1.06499517,0.00217111,-0.08256050,0.01989910,0.07109600,0.99384765
1756066383461,0,left,-0.03885268,1.05592470,0.00555564,-0.08252137,0.01998896,0.07113506,0.99384630
1756066383461,1,right,0.02613615,1.06499846,0.00217359,-0.08252137,0.01998896,0.07113506,0.99384630
1756066383472,0,left,-0.03887476,1.05592516,0.00556293,-0.08250354,0.02003872,0.07121571,0.99384100
1756066383472,1,right,0.02611231,1.06500891,0.00217369,-0.08250354,0.02003872,0.07121571,0.99384100
1756066383483,0,left,-0.03888812,1.05592283,0.00557006,-0.08242217,0.02011742,0.07125656,0.99384324
1756066383483,1,right,0.02609777,1.06501130,0.00217085,-0.08242217,0.02011742,0.07125656,0.99384324
1756066383494,0,left,-0.03890225,1.05592636,0.00556606,-0.08231742,0.02013411,0.07124160,0.99385265
1756066383494,1,right,0.02608383,1.06501305,0.00216579,-0.08231742,0.02013411,0.07124160,0.99385265
1756066383505,0,left,-0.03891080,1.05593309,0.00556925,-0.08232915,0.02019779,0.07121104,0.99385258
1756066383505,1,right,0.02607551,1.06501507,0.00216088,-0.08232915,0.02019779,0.07121104,0.99385258
1756066383517,0,left,-0.03892394,1.05592901,0.00558007,-0.08229096,0.02028763,0.07115709,0.99385778
1756066383517,1,right,0.02606290,1.06500312,0.00216090,-0.08229096,0.02028763,0.07115709,0.99385778
1756066383528,0,left,-0.03895059,1.05593345,0.00559194,-0.08228659,0.02035793,0.07113909,0.99385799
1756066383528,1,right,0.02603621,1.06500446,0.00216382,-0.08228659,0.02035793,0.07113909,0.99385799
1756066383539,0,left,-0.03897497,1.05593939,0.00559924,-0.08223168,0.02042898,0.07121596,0.99385557
1756066383539,1,right,0.02601001,1.06501980,0.00216153,-0.08223168,0.02042898,0.07121596,0.99385557
1756066383550,0,left,-0.03898933,1.05593665,0.00559855,-0.08207428,0.02042139,0.07148964,0.99384909
1756066383550,1,right,0.02599057,1.06505324,0.00216037,-0.08207428,0.02042139,0.07148964,0.99384909
1756066383561,0,left,-0.03899425,1.05595167,0.00560466,-0.08209744,0.02044014,0.07154800,0.99384259
1756066383561,1,right,0.02598444,1.06507556,0.00216320,-0.08209744,0.02044014,0.07154800,0.99384259
1756066383573,0,left,-0.03900180,1.05595245,0.00561748,-0.08218623,0.02041572,0.07154184,0.99383620
1756066383573,1,right,0.02597714,1.06507550,0.00217845,-0.08218623,0.02041572,0.07154184,0.99383620
1756066383584,0,left,-0.03900902,1.05595103,0.00563431,-0.08228472,0.02039056,0.07138309,0.99383998
1756066383584,1,right,0.02597304,1.06505340,0.00219935,-0.08228472,0.02039056,0.07138309,0.99383998
1756066383595,0,left,-0.03901044,1.05595597,0.00564558,-0.08231608,0.02042113,0.07121159,0.99384906
1756066383595,1,right,0.02597467,1.06503561,0.00220817,-0.08231608,0.02042113,0.07121159,0.99384906
1756066383606,0,left,-0.03900833,1.05596287,0.00565445,-0.08234216,0.02041944,0.07112896,0.99385285
1756066383606,1,right,0.02597834,1.06503170,0.00221790,-0.08234216,0.02041944,0.07112896,0.99385285
1756066383617,0,left,-0.03900450,1.05596828,0.00567259,-0.08227538,0.02050938,0.07108519,0.99385966
1756066383617,1,right,0.02598250,1.06503067,0.00222538,-0.08227538,0.02050938,0.07108519,0.99385966
1756066383644,0,left,-0.03903563,1.05598702,0.00566865,-0.08227320,0.02058805,0.07125231,0.99384625
1756066383644,1,right,0.02594782,1.06507026,0.00220941,-0.08227320,0.02058805,0.07125231,0.99384625
1756066383655,0,left,-0.03905443,1.05598549,0.00564681,-0.08223359,0.02057915,0.07133453,0.99384381
1756066383655,1,right,0.02592752,1.06507965,0.00218822,-0.08223359,0.02057915,0.07133453,0.99384381
1756066383667,0,left,-0.03907579,1.05598646,0.00561659,-0.08229805,0.02057387,0.07128163,0.99384238
1756066383667,1,right,0.02590718,1.06507358,0.00215866,-0.08229805,0.02057387,0.07128163,0.99384238
1756066383678,0,left,-0.03909714,1.05598042,0.00558638,-0.08232824,0.02052166,0.07122590,0.99384495
1756066383678,1,right,0.02588715,1.06506076,0.00213558,-0.08232824,0.02052166,0.07122590,0.99384495
1756066383690,0,left,-0.03910857,1.05596484,0.00555602,-0.08222442,0.02047205,0.07118087,0.99385780
1756066383690,1,right,0.02587684,1.06504025,0.00211313,-0.08222442,0.02047205,0.07118087,0.99385780
1756066383701,0,left,-0.03912505,1.05595329,0.00555983,-0.08217268,0.02045607,0.07123509,0.99385852
1756066383701,1,right,0.02585944,1.06503609,0.00211892,-0.08217268,0.02045607,0.07123509,0.99385852
1756066383713,0,left,-0.03914272,1.05595179,0.00556926,-0.08204186,0.02041000,0.07132260,0.99386400
1756066383713,1,right,0.02584036,1.06504692,0.00213464,-0.08204186,0.02041000,0.07132260,0.99386400
1756066383725,0,left,-0.03914759,1.05596412,0.00558260,-0.08202858,0.02038245,0.07148517,0.99385398
1756066383725,1,right,0.02583260,1.06508072,0.00214997,-0.08202858,0.02038245,0.07148517,0.99385398
1756066383736,0,left,-0.03914766,1.05596134,0.00556599,-0.08194616,0.02032955,0.07154816,0.99385733
1756066383736,1,right,0.02583163,1.06508699,0.00214035,-0.08194616,0.02032955,0.07154816,0.99385733
1756066383747,0,left,-0.03914848,1.05596853,0.00556317,-0.08193611,0.02032154,0.07144894,0.99386546
1756066383747,1,right,0.02583271,1.06508141,0.00213972,-0.08193611,0.02032154,0.07144894,0.99386546
1756066383759,0,left,-0.03914209,1.05596295,0.00557937,-0.08200524,0.02032881,0.07145581,0.99385912
1756066383759,1,right,0.02583893,1.06507641,0.00215427,-0.08200524,0.02032881,0.07145581,0.99385912
1756066383770,0,left,-0.03914316,1.05596122,0.00560958,-0.08215949,0.02034381,0.07134843,0.99385379
1756066383770,1,right,0.02583979,1.06506002,0.00218224,-0.08215949,0.02034381,0.07134843,0.99385379
1756066383782,0,left,-0.03913830,1.05596001,0.00565127,-0.08231041,0.02046229,0.07131103,0.99384155
1756066383782,1,right,0.02584471,1.06505214,0.00220748,-0.08231041,0.02046229,0.07131103,0.99384155
1756066383793,0,left,-0.03912835,1.05596090,0.00568372,-0.08238514,0.02050075,0.07131797,0.99383407
1756066383793,1,right,0.02585434,1.06505325,0.00223416,-0.08238514,0.02050075,0.07131797,0.99383407
1756066383804,0,left,-0.03910726,1.05596475,0.00572257,-0.08233424,0.02056677,0.07130997,0.99383750
1756066383804,1,right,0.02587524,1.06505550,0.00226493,-0.08233424,0.02056677,0.07130997,0.99383750
1756066383815,0,left,-0.03908853,1.05596542,0.00574977,-0.08222784,0.02060783,0.07127256,0.99384814
1756066383815,1,right,0.02589444,1.06505123,0.00228815,-0.08222784,0.02060783,0.07127256,0.99384814
1756066383827,0,left,-0.03907480,1.05596188,0.00576505,-0.08223504,0.02066880,0.07122779,0.99384949
1756066383827,1,right,0.02590867,1.06504118,0.00229588,-0.08223504,0.02066880,0.07122779,0.99384949
1756066383838,0,left,-0.03906312,1.05593915,0.00577756,-0.08218070,0.02073839,0.07120367,0.99385426
1756066383838,1,right,0.02592041,1.06501474,0.00230006,-0.08218070,0.02073839,0.07120367,0.99385426
1756066383849,0,left,-0.03904692,1.05594950,0.00579836,-0.08212878,0.02083802,0.07109457,0.99386428
1756066383849,1,right,0.02593813,1.06501000,0.00230948,-0.08212878,0.02083802,0.07109457,0.99386428
1756066383860,0,left,-0.03902480,1.05595011,0.00581025,-0.08205753,0.02084159,0.07124018,0.99385966
1756066383860,1,right,0.02595750,1.06502974,0.00232001,-0.08205753,0.02084159,0.07124018,0.99385966
1756066383872,0,left,-0.03899550,1.05595029,0.00581095,-0.08208513,0.02078053,0.07135903,0.99385013
1756066383872,1,right,0.02598491,1.06504594,0.00232717,-0.08208513,0.02078053,0.07135903,0.99385013
1756066383883,0,left,-0.03897159,1.05595002,0.00581219,-0.08223339,0.02070300,0.07132304,0.99384208
1756066383883,1,right,0.02600990,1.06504133,0.00233755,-0.08223339,0.02070300,0.07132304,0.99384208
1756066383894,0,left,-0.03898111,1.05593814,0.00580674,-0.08233351,0.02060186,0.07124633,0.99384139
1756066383894,1,right,0.02600238,1.06502024,0.00234521,-0.08233351,0.02060186,0.07124633,0.99384139
1756066383905,0,left,-0.03901850,1.05593663,0.00577696,-0.08233527,0.02048603,0.07116831,0.99384923
1756066383905,1,right,0.02596708,1.06500987,0.00233136,-0.08233527,0.02048603,0.07116831,0.99384923
1756066383916,0,left,-0.03904465,1.05592452,0.00575077,-0.08227524,0.02052247,0.07117797,0.99385276
1756066383916,1,right,0.02594054,1.06499882,0.00230086,-0.08227524,0.02052247,0.07117797,0.99385276
1756066383928,0,left,-0.03906309,1.05592086,0.00572746,-0.08226142,0.02053209,0.07120523,0.99385175
1756066383928,1,right,0.02592155,1.06499864,0.00227613,-0.08226142,0.02053209,0.07120523,0.99385175
1756066383939,0,left,-0.03905741,1.05591438,0.00571081,-0.08233046,0.02052548,0.07116742,0.99384888
1756066383939,1,right,0.02592796,1.06498708,0.00226012,-0.08233046,0.02052548,0.07116742,0.99384888
1756066383950,0,left,-0.03905349,1.05590432,0.00568912,-0.08241177,0.02052620,0.07098868,0.99385491
1756066383950,1,right,0.02593522,1.06495351,0.00223949,-0.08241177,0.02052620,0.07098868,0.99385491
1756066383961,0,left,-0.03904974,1.05589781,0.00566230,-0.08252553,0.02054888,0.07080493,0.99385811
1756066383961,1,right,0.02594226,1.06492247,0.00221064,-0.08252553,0.02054888,0.07080493,0.99385811
1756066383972,0,left,-0.03905249,1.05588640,0.00563129,-0.08249737,0.02054517,0.07079869,0.99386097
1756066383972,1,right,0.02593965,1.06491039,0.00218043,-0.08249737,0.02054517,0.07079869,0.99386097
1756066383984,0,left,-0.03905634,1.05588985,0.00560683,-0.08245799,0.02059050,0.07086534,0.99385855
1756066383984,1,right,0.02593432,1.06492214,0.00214970,-0.08245799,0.02059050,0.07086534,0.99385855
1756066383995,0,left,-0.03906908,1.05589530,0.00556600,-0.08233462,0.02068257,0.07093244,0.99386208
1756066383995,1,right,0.02591982,1.06493572,0.00209725,-0.08233462,0.02068257,0.07093244,0.99386208
1756066384006,0,left,-0.03907576,1.05589156,0.00552101,-0.08229393,0.02075761,0.07104604,0.99385577
1756066384006,1,right,0.02591064,1.06494606,0.00204163,-0.08229393,0.02075761,0.07104604,0.99385577
1756066384017,0,left,-0.03907754,1.05589437,0.00548408,-0.08230802,0.02078039,0.07102830,0.99385540
1756066384017,1,right,0.02590905,1.06494627,0.00200179,-0.08230802,0.02078039,0.07102830,0.99385540
1756066384028,0,left,-0.03906961,1.05589301,0.00546570,-0.08241005,0.02071176,0.07093915,0.99385474
1756066384028,1,right,0.02591901,1.06493372,0.00199239,-0.08241005,0.02071176,0.07093915,0.99385474
1756066384039,0,left,-0.03905541,1.05588439,0.00546000,-0.08252412,0.02065010,0.07082394,0.99385477
1756066384039,1,right,0.02593571,1.06491041,0.00199493,-0.08252412,0.02065010,0.07082394,0.99385477
1756066384051,0,left,-0.03903475,1.05588215,0.00545426,-0.08260699,0.02058894,0.07076629,0.99385326
1756066384051,1,right,0.02595776,1.06490106,0.00199703,-0.08260699,0.02058894,0.07076629,0.99385326
1756066384062,0,left,-0.03901893,1.05588504,0.00545072,-0.08260131,0.02057910,0.07074162,0.99385570
1756066384062,1,right,0.02597409,1.06490088,0.00199509,-0.08260131,0.02057910,0.07074162,0.99385570
1756066384073,0,left,-0.03900663,1.05589428,0.00545035,-0.08268088,0.02056712,0.07084669,0.99384184
1756066384073,1,right,0.02598450,1.06492362,0.00199445,-0.08268088,0.02056712,0.07084669,0.99384184
1756066384084,0,left,-0.03899773,1.05590356,0.00544490,-0.08267193,0.02056329,0.07091854,0.99383754
1756066384084,1,right,0.02599209,1.06494232,0.00198881,-0.08267193,0.02056329,0.07091854,0.99383754
